MARK	MUG
INACTIVE	ACTIVE
NOT	NO
NOT	NO
PREFECT	PREFER
INTO	TO
FIGHTS	FIND
THESE	THIS
THINGS	THING
WHICH	WE
MARTIAL	RUSSIA
JOIN	JUST
LAH	LIKE
AH	ER
EI	EH
NO	YOU
NO	KNOW
AH	ER
WHILE	ONE
WAH	AH
ONE	IS
EXAMPLE	SURPRISE
LAH	AH
OR	SHOULD
OFF	OFFER
OH	OKAY
CANNOT	LAH
KNOW	NO
CHAN	CAN
AH	ER
WORLD	YOU
AH	ARE
WORLD	THE
MISS	MEANS
WILL	WE
BIKINI	BEGINNING
EI	THEN
WEAR	WHERE
BIKINI	BECANY
NOW	DOWN
AH	YAH
LAH	LIKE
EI	EH
AH	I
SURE	TELL
FATHER	MY
WILL	WERE
WE	YOU
YEAH	YAH
THERE	THE
LEI	LEH
WAH	OF
EI	LEH
SHAPELY	SHIPLY
WILL	WAS
MOTHER	BROTHER
WAS	WILL
SAYING	SAY
IS	IT'S
EI	EH
YEAH	YA
IS	THERE'S
THE	A
ITS	IT'S
THE	A
APPLIES	PLACE
EI	THEN
LEI	LEH
RELATIVE	RELATIVES
HUG	HELP
AUNTY	AUNTIE
IS	IT'S
YEAH	I
LAH	LA
WILL	THE
THINK	TWINS
ESCORT	EXCUT
WHAT	AH
SEE	SAY
EI	THEN
CENSORED	IS
AH	but
TESSA	TEST
TESSA	AH
T	TEST
E	R
S	T
TESSA	AH
TESSA	DATA
BAH	MISS
NIECE	YEAR
HUH	<NOISE>
YEAH	YAH
LAH	MAH
RELATIVE	BROTHERLY
DIRTY	THIRTY
S	LAST
PICNIC	CLINIC
IS	IT'S
NIECE	LIST
SURNAME	NAME
AUNTY	AUNTIE
HA	HUH
TALKS	TALK
LEARN	CHINA
AH	ER
SI	SEE
MI	ME
WA	WHAT
MENG	THE
ZAI	GUY
JAP	CHECK
THAT	IT
YEARS	IS
OLD	SO
OH	AH
BEFORE	FOUR
ROLLERBLADING	BLADING
SLOW	LOW
RICH	REACH
LEI	LEH
MAKE	I
EVERYDAY	REALLY
YEAH	ER
LAH	YA
TEN	THAT
TIMES	TIME
EI	EH
ABOUT	BUT
IT	RIGHT
IS	IT'S
AH	ER
GENTLING	GENTING
CHINA	TRY
OH	ER
BEIJING	BASIC
THESE	THIS
IS	IT'S
BECOME	BEIJING
ARE	AT
ARE	YA
LAH	LA
LAH	LA
CAN	THEN
TRIP	THREE
FRO	FALL
FRO	PHONE
AH	ER
THEY	THEN
IS	IT'S
SAY	SAID
CENT	PERCENT
PRAY	PAY
CENT	PERCENT
LAH	LA
CENT	PERCENT
MAY	EH
EI	DO
DON'T	YOU
LEI	THEY
INSTEP	STEP
CAN	OKAY
LOR	AH
I	TRY
DON'T	TO
LEI	LAH
SEMESTER	SEM
LEI	LEH
SEMESTER	SEM
SEMESTER	SEM
TRIPLE	AH
WHAT'S	WHAT
ER	UH
HARD	HOW
SAY	THAT
ONCE	WHAT
EN	AH
SEMESTER	SEM
YEAH	YA
CAN	THERE
THEN	VERY
SEMESTER	SEM
SEMESTER	SEM
ONE	WHAT
LAH	AH
OH	WAH
KU	GO
BIRD	BACK
HE	YOU
SOON	SWIMMING
HUAT	WHAT
AH	ER
THERE	EH
YEAH	AH
HAO	BEST
LIAN	ONLY
TAN	THEN
P	GYM
SEMESTER	SEM
DEFERMENT	DIFFERENT
SEMESTER	SEM
PRAY	PLAY
EI	EH
G	JENTY
HE	THEY
TO	PEOPLE
GERMA	GERMANY
UNFAMILIAR	FAMILIAR
TERRITORY	DERETARY
SEMESTER	SEM
AHEAD	I
RIGHT	<NOISE>
AHEAD	HEAD
THEN	THERE
ON	HOR
EI	EH
THERE	THEN
SHOCK	SHOCKED
SOPRANO	SUPERVISOR
AH	OH
DEEP	<NOISE>
MANLY	MAINLY
MAN	BAD
YEAH	YAH
I	YA
ONLY	ACTUALLY
WISE	WHY
YEAH	YA
YEAH	ARE
DON'T	OTHER
HAVE	TIME
LOR	AH
LAH	AH
MIND	MINOR
SORTS	SORT
MIND	MY
MIND	MY
EXER	ACCESS
OTHELLO	TELO
ER	UH
BRIDGE	BLEACH
THESE	THIS
CHESS	CHAIR
FAVORITE	FAVOURITE
DECK	YVID
PEI	AHBAY
AND	I
LEI	ONE
HAPPENED	HAPPEN
EI	EH
AND	EH
NOT	AH
LOR	LOH
MIND	THEN
IT	WHY
IS	IT'S
I'M	AM
THINKING	TAKING
DA	THOUGHT
DINNER	YEAR
ONLY	CANNOT
PLAYING	PLAY
YEAH	THEN
FIXED	FIX
YEAH	YA
SHE	HE
THERE	THEN
COME	BECOME
IN	YOU
LOR	KNOW
ON	FOR
VALENTINE	TIME
LOT	UP
OCCASIONALLY	⁇
AH	⁇
FRIEND	FRIENDS
ANNI	IS
MONTH	BOY
I	YEAR
WAS	IS
DUTCH	TOUCH
GIRLS	SOMETIMES
BAH	AH
THINKING	TAKING
LAH	LA
MANY	BIG
POH	BASKETBALL
EI	AND
POH	PAPER
SAY	SAID
IGNORE	KNOW
AH	WAH
CARE	CAN
EI	EH
WAIT	WHEN
ER	UH
FLIP	FREE
FLIP	TRADE
ONE	BOND
COMM	COM
LIKE	I
REP	BAD
EACH	WHICH
CALL	CALLED
YEAH	YAH
LEI	EH
IS	IT'S
AH	AROUND
LOR	AROUND
IS	IT'S
SEVENTEEN	SEVENTY
LEI	WHAT
SHOCK	SHORT
LEI	EH
SEVENTEEN	SEVENTY
FOREIGNERS	FOREIGNER
LOR	SO
EIGHT	A
COMM	COM
LEI	LEH
AIMING	EVERY
RECC	REC
YEAH	I
AIM	IN
RECC	REC
LAH	AH
RECC	REC
AH	UH
AS	LET
IN	SAY
LEI	THAT
BAH	AH
SOMEWHERE	WHERE
EUNOS	KNOWS
KEMBANGAN	KANG
LEI	NIGHT
EI	THEN
I	THAT
EIGHT	EH
SEVEN	SAFRA
AH	ER
CONSIDERED	HERE
AH	LAH
OR	OF
CAN	THEY
LOR	CANNOT
SIDE	DECIDE
IS	IT'S
OR	OF
SEVENTEEN	SEVENTY
EI	LEH
ER	AH
OFF	A
SEVENTEEN	TEAM
ER	NO
EI	OKAY
WAH	OH
LEI	LIKE
MUST	BUT
AH	ER
AND	IN
BUS	BEST
CONCESSION	CONSUMPTION
AVOID	AFFORD
THE	THAT
VERY	MEH
INDIRECTLY	DIRECTLY
AH	ER
I	IN
AH	ER
YEAH	YA
IT	IT'S
IS	IT'S
IS	IT'S
IT	COMPLICATED
IS	IT'S
EXTENT	EXTEND
DRIVE	JOIN
OR	ER
ACCOMPANY	COMPANY
THICK	BIG
FETCH	FACE
ANYHOW	CANNOT
LAO	LAU
LEI	LEH
LAO	LAU
I	LIKE
PISSED	PIECE
OFF	OF
LEI	EH
LAH	LA
LAH	AH
GAH	MANGA
AH	ER
HIT	HE
DENT	THEN
EI	EH
NOT	AH
FATHER	BROTHER
I	THEY
AH	LIKE
FATHER	FATHER'S
YEAH	THEN
SAID	SAY
TWO	TOO
LAH	AH
DON'T	NO
YOUR	THE
HOME	HOST
LAH	LA
LAH	WHAT
THANKS	THEN
AH	IS
THANKS	HALFWAY
IS	IT'S
FAR	FUN
TEST	MATHS
I	OH
AROUND	OH
MINUTE	MINUTES
DRIVE	JUST
MINUTE	MINUTES
DRIVE	JOIN
YOU	YOUR
FATHER	BROTHER
TURN	THE
WHAT	WHY
IF	IS
SOMETHING	SLEEPING
WRONG	ROOM
HUH	HOW
WHICH	THIS
SOMEWHERE	SOMEONE
ERM	ER
EI	THEN
LEFT	LAME
LAH	I
GIRLS	PEOPLE
EI	EH
YEAH	YA
ONE	IS
INCIDENT	SEASON
CHIONG	JIO
EI	EH
EI	AT
THEN	THERE
WE	IT
WERE	WILL
BIT	BE
SAY	SAID
SHE	HE
WAS	THAT
LIKE	I
WAS	WILL
ME	WALK
AND	ROOMIE
MY	I
WERE	WILL
GIRL	GIRLS
RIGHT	YOU
THAT	LEARN
GIRL	GIRLS
PASTE	TASTE
THAT	ACCENT
IS	IT'S
WHEN	A
DOING	DURING
DIRECTION	EXCHANGE
IT	UH
IS	IT'S
WILL	WAS
WILL	WOULD
SAID	SAY
PES	PASS
E	YOU
PES	P
PES	PASS
E	YEAH
I	YOU
SPINAL	FINAL
EI	THEN
EVERYTHING	OF
ALSO	THE
SPINAL	WERE
LEICA	CAN
WALK	WORK
THAT	THEY
WALK	TIME
WALK	OF
PENGUIN	PANGING
YAH	YA
M	N
LOR	LO
AH	ER
LEI	EH
EI	UH
AH	I
OUT	UP
GO	GOT
OUT	NO
NOW	LAH
SHY	FIND
I	YA
INTROVERT	INTROVER
EI	IT
EXTROVERT	WORK
THAT	THE
EXTROVERT	INSTRUMENT
AH	YA
YEAH	YA
ME	ALREADY
NEWS	EAST
FEED	FIT
SOMETIMES	MORE
COMMENT	COME
ON	BACK
NEWS	WITH
FEED	NEW
THEM	TIME
AH	LAH
HOUR	HOURS
SLASH	LEFT
FIND	HALL
RECRUIT	COULD
CALL	CORE
IS	IT'S
IS	IT'S
ALREADY	REALLY
EI	LEH
IT	YA
IS	IT'S
MORE	WHAT
ALREADY	YOU
LAH	AH
JOBSTER	DOCTOR
RESUME	EASIER
SEND	LET'S
TO	SAY
ANOTHER	NO
ONE	RIGHT
KOUFU	CONFIRM
LEI	EH
AH	ER
FU	CONFIRM
STAFF	STUFF
OR	FOR
NO	DON'T
JOBS	DRUG
WANT	OTHER
TO	IS
WITH	ROUNDE
THE	IS
AUNTY	A
PEH	PAD
BECOME	COPY
KOPITIAM	THEIR
EI	YEAH
AH	YEAH
WHAT	OH
STARBUCKS	STARBUCK
HA	HUH
I	HE
DRINK	REALLY
ATAS	ADTAS
SHOP	SHOW
DEPENDS	IS
KALLANG	GOT
KALLANG	ONE
LOH	LOR
LEI	LEH
YEAR	ALREADY
YAH	YEAH
KNOW	SEE
ZINC	IN
IS	WHICH
RICH	AH
ROCHELLE	RUSSIA
ROCHELLE	RUSSIA
AH	WHAT
SWISS	SWITCH
COTTAGE	COURSEAGE
CANDY	B
YEAH	YA
HIP	HIT
ROCHELLE	FRIEND
IT	IT'S
IS	A
EVERYTHING	REALLY
AH	YEAH
NAH	LA
IS	BATCH
CHANGE	CHAIR
THE	A
LIKE	HAVE
SKIRT	SCRIPT
YOU	HOR
HUH	AH
SHORT	SHOP
SHORT	SHOP
AH	YEAH
NAH	LAH
WEAR	WATCH
SHORT	SPORTS
WEAR	WENT
KNEE	ME
LENGTH	THEN
EVERY	ANYWAY
LENGTH	VERY
SKIRT	NICE
EI	GIRL
CORRECT	GOING
IS	IT'S
UNIFORM	FOUR
WHAT	AH
GIRLS	WHY
SAY	USELESS
WHAT	AH
LENGTH	BILING
IN	IS
LENGTH	LINK
RIGHT	HIGH
WILL	YOU
ANKLE	ANGLE
LENGTH	LAS
SKIRT	GOOD
AND	THEN
LOR	AH
LIKE	THAT
ITS	IT'S
THEN	HIGH
AH	LAH
YAH	YEAH
VER	<NOISE>
DOVER	DOME
DOVER	DOVERSE
DOVER	GOVER
PURPLE	CAN
YELLOW	LOR
LINE	POPULAR
IS	IT'S
SIGN	SIDE
LIKE	YEAH
EI	WORK
WALK	WORK
WRONG	LOR
ANOTHER	THE
ESCALATOR	ESCALATED
UP	OUT
OR	OF
WALK	WORK
LAH	AH
SIGNBOARD	SIGN
OH	BOOK
YEAH	YA
DHOBY	THE
DHOBY	STUPID
GHAUT	GOT
S	A
BE	YOU
PREPARED	PREPARE
AH	ER
LIKE	WANT
EAT	DO
EI	EH
ME	B
MIXED	MISS
ON	FOR
FISH	O
OIL	E
FISH	H
EYE	I
STOMACH	SPAMA
ANYTHING	HAVE
LAH	AH
LEI	<NOISE>
O	THEY
KOPI	COPY
O	OH
KOPI	COPY
MILK	ME
KOPI	COPY
KOPI	COPY
O	ALL
LAH	LA
THEN	YEAH
TEA	HAPPY
LOR	SLOW
PEK	TO
AH	OUR
TA	TIME
TAMIYA	TAMIA
RACETRACK	TRACK
YEAH	THEN
TAMIYA	TUMPET
BUT	WHAT
TOO	TWO
TOO	TWO
SMALL	LIKE
TOO	TWO
LEI	LEH
LEI	EH
IT	EH
IS	IT'S
OVER	THEN
CARS	CLASS
ENDING	END
MODIFIED	MODIFY
CURVY	TRBY
YEAH	YA
STABILIZE	TABLEIZE
LAH	AH
CORNERS	CORNER
WITH	WE
A	WILL
SLIT	SLEEP
PUT	BOOK
STABILIZE	STAY
THE	LESS
THING	THAN
EI	THE
TAMIYA	NEAR
WHEELS	YEARS
EI	LEH
WHEELS	YEARS
WHEEL	WORLD
IS	IT'S
SHAPE	AEROPLANSHIP
IT	IT'S
IS	GREEN
STREAMLINED	LINE
THEN	THAT
BACK	BAD
WHEELS	MEALS
LAH	AH
WHEELS	YEARS
BACK	BAG
WHEELS	WILLS
WHEELS	YEARS
EI	EH
EI	LEH
<NOISE>	INTERVIEW
HOUSEHOLD	OLD
OR	OF
FEE	FEES
MUST	MIGHT
HOUSEHOLD	HOLD
HOUSEHOLD	HOME
IS	IT'S
IT	IT'S
IS	DOUBLE
GOVERNMENT	ONE
A	IT'S
TO	EVEN
MEET	MAKE
QUOTA	QUARTER
IS	IT'S
IS	IT'S
IS	IT'S
IT	SAY
IS	IT'S
IS	IT'S
IT	YOU
THE	HELP
LOGISTICS	LOGISTIC
THERE	THEY
AH	ER
MAH	WHAT
APPLY	PLAY
COUSIN'S	COUSINS
WORK	SEE
STAT	STEP
HE	YOU
YEAH	YA
FOUR	A
THEN	LOT
I	IS
CALCULATE	CORRECT
IS	IT'S
IS	IT'S
SEVENTY	TWENTY
IS	IT'S
EIGHTY	THIRTY
TRAVELING	TRAVELLING
SEVENTY	TWENTY
AH	ER
CLAIM	CAME
THAT'S	THAT
CLAIM	CLEAR
UP	ONE
I	LIKE
LEI	LEH
ANYWAY	THEN
NUMBERS	NUMBER
UP	OUT
E	I
